ARTHURS CREEK,3099,WHITE
ARTHURS LAKE,7030,WHITE
ARTHURS SEAT,3936,ORANGE
ARTHURTON,5572,WHITE
ARTHURVILLE,2820,WHITE
ARUMBERA,870,GREY
ARUMPO,2715,WHITE
ARUNDEL,4214,
ARUNDEL BC,4214,
ARUNDEL DC,4214,
ASCOT,3364,WHITE
ASCOT,3551,ORANGE
ASCOT,4007,
ASCOT,6104,WHITE
ASCOT PARK,5043,GREEN
ASCOT VALE,3032,ORANGE
ASHBOURNE,3442,WHITE
ASHBOURNE,5157,WHITE
ASHBURTON,3147,ORANGE
ASHBURY,2193,RED
ASHBY,2463,WHITE
ASHBY,6065,WHITE
ASHBY HEIGHTS,2463,WHITE
ASHBY ISLAND,2463,WHITE
ASHCROFT,2168,RED
ASHENDON,6111,WHITE
ASHFIELD,2131,RED
ASHFIELD,4670,RED
ASHFIELD,6054,WHITE
ASHFORD,2361,WHITE
ASHFORD,5035,GREEN
ASHGROVE,4060,
ASHGROVE WEST,4060,
ASHLEY,2400,WHITE
ASHMONT,2650,ORANGE
ASHMORE,4214,
ASHMORE CITY,4214,
ASHTON,5137,WHITE
ASHTONFIELD,2323,RED
ASHVILLE,5259,WHITE
ASHWELL,4340,WHITE
ASHWOOD,3147,ORANGE
ASPENDALE,3195,ORANGE
ASPENDALE GARDENS,3195,ORANGE
ASPLEY,4034,
ASQUITH,2077,RED
ATHELSTONE,5076,GREEN
ATHERTON,4883,ORANGE
ATHLONE,3818,ORANGE
ATHOL,4350,
ATHOL PARK,5012,GREEN
ATHOLWOOD,2361,WHITE
ATITJERE,872,GREY
ATKINSONS DAM,4311,WHITE
ATTADALE,6156,WHITE
ATTUNGA,2345,WHITE
ATTWOOD,3049,ORANGE
ATWELL,6164,WHITE
AUBIGNY,4401,
AUBIN GROVE,6164,WHITE
AUBREY,3393,WHITE
AUBURN,2144,RED
AUBURN,3123,ORANGE
AUBURN,5451,WHITE
AUBURN SOUTH,3122,ORANGE
AUBURN VALE,2360,WHITE
AUCHENFLOWER,4066,
AUCHMORE,3570,WHITE
AUDLEY,2232,WHITE
AUGATHELLA,4477,GREY
AUGUSTA,6290,GREY
AUGUSTINE HEIGHTS,4300,
AULDANA,5072,GREEN
AURUKUN,4871,GREY
AURVILLE,2587,WHITE
AUSTINMER,2515,ORANGE
AUSTINS FERRY,7011,GREEN
AUSTINVILLE,4213,WHITE
AUSTRAL,2179,RED
AUSTRAL EDEN,2440,
AUSTRALIA FAIR,4215,
AUSTRALIA PLAINS,5374,WHITE
AUSTRALIAN DEFENCE FORCES,2890,
AUSTRALIAN NATIONAL UNIVERSITY,200,ORANGE
AUSTRALIND,6233,WHITE
AVALON,2107,RED
AVALON,3212,ORANGE
AVALON BEACH,2107,RED
AVELEY,6069,WHITE
AVENEL,3664,WHITE
AVENELL HEIGHTS,4670,RED
AVENUE RANGE,5273,WHITE
AVISFORD,2850,WHITE
AVOCA,2577,WHITE
AVOCA,3467,WHITE
AVOCA,4670,RED
AVOCA,7213,WHITE
AVOCA BEACH,2251,RED
AVOCA DELL,5253,WHITE
AVOCA VALE,4306,WHITE
AVON,2574,WHITE
AVON,5501,WHITE
AVON DOWNS,862,GREY
AVON PLAINS,3477,
AVON PLAINS,3478,WHITE
AVON VALLEY NATIONAL PARK,6084,WHITE
AVONDALE,2530,ORANGE
AVONDALE,4670,WHITE
AVONDALE HEIGHTS,3034,ORANGE
AVONMORE,3559,ORANGE
AVONSIDE,2628,WHITE
AVONSLEIGH,3782,
AWABA,2283,RED
AXE CREEK,3551,ORANGE
AXEDALE,3551,ORANGE
AYERS ROCK,872,GREY
AYLMERTON,2575,ORANGE
AYR,4807,ORANGE
AYRFORD,3268,WHITE
AYTON,4895,GREY
BAAN BAA,2390,WHITE
BAANDEE,6412,GREY
BABAKIN,6428,GREY
BABBAGE ISLAND,6701,GREY
BABINDA,2825,WHITE
BABINDA,4861,ORANGE
BABYL CREEK,2470,WHITE
BACCHUS MARSH,3340,ORANGE
BACK CREEK,2372,WHITE
BACK CREEK,2390,WHITE
BACK CREEK,2422,WHITE
BACK CREEK,2480,WHITE
BACK CREEK,2484,WHITE
BACK CREEK,2622,WHITE
BACK CREEK,2671,WHITE
BACK FOREST,2535,WHITE
BACK PLAINS,4361,WHITE
BACK VALLEY,5211,WHITE
BACKMEDE,2470,WHITE
BACKWATER,2365,WHITE
BACKY POINT,5600,
BADDAGINNIE,3670,WHITE
BADEN,7120,WHITE
BADGEBUP,6317,GREY
BADGER CREEK,3777,WHITE
BADGER HEAD,7270,WHITE
BADGERIN ROCK,6475,GREY
BADGERYS CREEK,2555,RED
BADGIN,6302,GREY
BADGINGARRA,6521,GREY
BADJA,2630,WHITE
BADJALING,6383,GREY
BADU ISLAND,4875,GREY
BAEL BAEL,3579,WHITE
BAERAMI,2333,WHITE
BAERAMI CREEK,2333,WHITE
BAFFLE CREEK,4674,WHITE
BAFFLE WEST,4454,WHITE
BAGDAD,7030,WHITE
BAGDAD NORTH,7030,WHITE
BAGNOO,2446,WHITE
BAGO,2446,RED
BAGO,2730,WHITE
BAGOT,820,GREY
BAGOT WELL,5373,WHITE
BAGOTVILLE,2477,RED
BAGSHOT,3551,ORANGE
BAGSHOT NORTH,3551,ORANGE
BAHGALLAH,3312,WHITE
BAHRS SCRUB,4207,
BAILIESTON,3608,WHITE
BAILUP,6082,WHITE
BAINES,852,
BAIRD BAY,5671,GREY
BAIRNSDALE,3875,WHITE
BAJOOL,4699,RED
BAKARA,5354,WHITE
BAKARA WELL,5354,WHITE
BAKERS BEACH,7307,WHITE
BAKERS BEND,4470,GREY
BAKERS CREEK,2358,WHITE
BAKERS CREEK,2359,
BAKERS CREEK,2422,WHITE
BAKERS CREEK,2447,WHITE
BAKERS CREEK,4740,RED
BAKERS HILL,6562,GREY
BAKERS SWAMP,2820,WHITE
BAKERY HILL,3350,ORANGE
BAKEWELL,832,GREY
BAKING BOARD,4413,WHITE
BALACLAVA,2575,
BALACLAVA,3183,ORANGE
BALAKLAVA,5461,WHITE
BALALA,2358,WHITE
BALBARRUP,6258,GREY
BALBERRA,4740,RED
BALCATTA,6021,WHITE
BALCATTA,6914,WHITE
BALCOLYN,2264,RED
BALCOMBA,4702,WHITE
BALD BLAIR,2365,WHITE
BALD HILLS,2549,WHITE
BALD HILLS,3364,WHITE
BALD HILLS,4036,
BALD HILLS,5203,WHITE
BALD KNOB,4552,WHITE
BALD NOB,2370,WHITE
BALD RIDGE,2795,WHITE
BALDERSLEIGH,2365,WHITE
BALDINA,5417,WHITE
BALDIVIS,6171,WHITE
BALDRY,2867,WHITE
BALFES CREEK,4820,WHITE
BALFOURS PEAK,2402,WHITE
BALGA,6061,WHITE
BALGAL BEACH,4816,ORANGE
BALGOWAN,4401,WHITE
BALGOWAN,5573,WHITE
BALGOWLAH,2093,RED
BALGOWLAH HEIGHTS,2093,RED
BALGOWNIE,2519,ORANGE
BALHANNAH,5242,GREEN
BALICKERA,2324,WHITE
BALINGUP,6253,WHITE
BALINTORE,3249,WHITE
BALKULING,6383,GREY
BALL BAY,4741,RED
BALLA BALLA,6714,GREY
BALLADONG,6302,GREY
BALLADONIA,6443,GREY
BALLADORAN,2831,WHITE
BALLAJURA,6066,WHITE
BALLALABA,2622,WHITE
BALLAN,3342,WHITE
BALLANDEAN,4382,
BALLANGEICH,3279,WHITE
BALLAPUR,3483,WHITE
BALLARAT,3350,ORANGE
BALLARAT,3353,ORANGE
BALLARAT CENTRAL,3350,ORANGE
BALLARAT EAST,3350,ORANGE
BALLARAT MC,3354,ORANGE
BALLARAT NORTH,3350,ORANGE
BALLARAT ROADSIDE DELIVERY,3352,WHITE
BALLARAT WEST,3350,ORANGE
BALLARD,4352,
BALLAROO,4455,WHITE
BALLAST HEAD,5221,GREY
BALLAYING,6315,GREY
BALLDALE,2646,WHITE
BALLENDELLA,3561,WHITE
BALLENGARRA,2441,WHITE
BALLIANG,3340,WHITE
BALLIANG EAST,3340,WHITE
BALLIDU,6606,GREY
BALLIMORE,2830,WHITE
BALLINA,2478,RED
BALLOGIE,4610,WHITE
BALLY BALLY,6304,GREY
BALLYROE,2795,WHITE
BALLYROGAN,3375,WHITE
BALMAIN,2041,RED
BALMAIN EAST,2041,RED
BALMATTUM,3666,WHITE
BALMORAL,2283,RED
BALMORAL,2571,WHITE
BALMORAL,3407,WHITE
BALMORAL,4171,
BALMORAL RIDGE,4552,
BALNAGOWAN,4740,RED
BALNARRING,3926,ORANGE
BALNARRING BEACH,3926,ORANGE
BALOOK,3971,WHITE
BALRANALD,2715,WHITE
BALWYN,3103,ORANGE
BALWYN EAST,3103,ORANGE
BALWYN NORTH,3104,ORANGE
BAMAGA,4876,GREY
BAMARANG,2540,WHITE
BAMAWM,3561,WHITE
BAMAWM EXTENSION,3561,WHITE
BAMAWM EXTENSION,3564,
BAMBAROO,4850,ORANGE
BAMBOO,4873,GREY
BAMBOO CREEK,4860,WHITE
BAMBRA,3241,WHITE
BAMBUN,6503,WHITE
BAMGANIE,3333,WHITE
BAN BAN,4625,WHITE
BAN BAN SPRINGS,4625,WHITE
BANANA,4702,WHITE
BANCA,7265,WHITE
BANCROFT,4630,WHITE
BANDA BANDA,2446,WHITE
BANDIANA,3691,ORANGE
BANDIANA,3694,ORANGE
BANDIANA MILPO,3694,ORANGE
BANDON,2871,WHITE
BANDON GROVE,2420,WHITE
BANDY CREEK,6450,GREY
BANDYA,6440,GREY
BANGADANG,2729,WHITE
BANGADILLY,2577,WHITE
BANGALEE,2541,ORANGE
BANGALEE,4703,RED
BANGALOW,2479,RED
BANGERANG,3393,WHITE
BANGHAM,5268,WHITE
BANGHEET,2404,WHITE
BANGHOLME,3175,ORANGE
BANGO,2582,WHITE
BANGOR,2234,RED
BANGOR,5481,WHITE
BANGOR,7267,WHITE
BANJUP,6164,WHITE
BANKS,2906,ORANGE
BANKS CREEK,4306,WHITE
BANKS ISLAND,4875,GREY
BANKS POCKET,4570,WHITE
BANKSIA,2216,RED
BANKSIA BEACH,4507,
BANKSIA GROVE,6031,WHITE
BANKSIA PARK,5091,GREEN
BANKSIA PENINSULA,3875,
BANKSIADALE,6213,WHITE
BANKSMEADOW,2019,RED
BANKSTOWN,2200,RED
BANKSTOWN AERODROME,2200,RED
BANKSTOWN NORTH,2200,RED
BANKSTOWN SQUARE,2200,RED
BANNABY,2580,WHITE
BANNERTON,3549,WHITE
BANNISTER,2580,WHITE
BANNISTER,6390,GREY
BANNOCKBURN,3331,ORANGE
BANNOCKBURN,4207,
BANOON,2347,WHITE
BANORA POINT,2486,
BANYABBA,2469,WHITE
BANYAN,3485,WHITE
BANYENA,3388,WHITE
BANYENONG,3480,WHITE
BANYO,4014,
BANYULE,3084,
BAPAUME,4352,WHITE
BAR BEACH,2300,RED
BAR POINT,2083,WHITE
BARA,2850,WHITE
BARABBA,5460,WHITE
BARADINE,2396,WHITE
BARAIMAL,2470,WHITE
BARALABA,4702,WHITE
BARAMBAH,4601,WHITE
BARANDUDA,3691,ORANGE
BARANGAROO,2000,RED
BARBALIN,6479,GREY
BARBERTON,6510,GREY
BARBIGAL,2830,WHITE
BARCALDINE,4725,WHITE
BARCALDINE DOWNS,4725,GREY
BARCOONGERE,2460,WHITE
BARDEN RIDGE,2234,RED
BARDIA,2565,RED
BARDON,4065,
BARDWELL PARK,2207,RED
BARDWELL VALLEY,2207,RED
BAREE,4714,GREY
BAREENA,3220,ORANGE
BARELLAN,2665,WHITE
BARELLAN POINT,4306,
BARFOLD,3444,ORANGE
BARGARA,4670,RED
BARGO,2574,ORANGE
BARHAM,2732,WHITE
BARIGAN,2850,WHITE
BARINGHUP,3463,WHITE
BARINGHUP WEST,3463,WHITE
BARINIA,5453,WHITE
BARJARG,3723,WHITE
BARKER CREEK FLAT,4615,WHITE
BARKERS CREEK,3451,ORANGE
BARKERS VALE,2474,WHITE
BARKLY,3381,WHITE
BARKLY,3384,
BARKLY,4825,GREY
BARKSTEAD,3352,WHITE
BARKSTEAD,3364,
BARLIL,4605,WHITE
BARLOWS HILL,4703,RED
BARLYNE,4625,WHITE
BARMAH,3639,WHITE
BARMARYEE,4703,RED
BARMEDMAN,2668,WHITE
BARMERA,5345,WHITE
BARMOYA,4703,WHITE
BARNA,5641,GREY
BARNADOWN,3557,ORANGE
BARNARD,4702,WHITE
BARNAWARTHA,3688,ORANGE
BARNAWARTHA NORTH,3691,ORANGE
BARNDIOOTA,5434,GREY
BARNES BAY,7150,WHITE
BARNEY POINT,4680,RED
BARNEY VIEW,4287,WHITE
BARNEYS REEF,2852,WHITE
BARNSLEY,2278,RED
BAROMI,3871,WHITE
BARONGAROOK,3249,ORANGE
BARONGAROOK WEST,3249,WHITE
BAROOGA,3644,WHITE
BAROOTA,5495,WHITE
BAROSSA GOLDFIELDS,5351,WHITE
BARRABA,2347,WHITE
BARRABOOL,3221,ORANGE
BARRABUP,6275,WHITE
BARRACK HEIGHTS,2528,ORANGE
BARRACK POINT,2528,ORANGE
BARRAGANYATTI,2441,WHITE
BARRAGGA BAY,2546,WHITE
BARRAGUP,6209,WHITE
BARRAKEE,3525,WHITE
